,Name ,Comment ,comments,Time ,text_token,text_string
284,Refill_2,"I have no idea why, but the commentator's reaction at 3:00 killed me 😂","i have no idea why, but the commentator's reaction at 3:00 killed me 😂",2022-09-14T02:57:05Z,"['idea', 'commentator', 'reaction', '3', '00', 'killed']",idea commentator reaction killed
285,Sockbot27,RIP Kobe. His death was a big reason why LA reacted that way in 2020. Felt like we won that one for him the year he passed .,rip kobe. his death was a big reason why la reacted that way in 2020. felt like we won that one for him the year he passed .,2022-09-14T01:40:08Z,"['rip', 'kobe', 'death', 'big', 'reason', 'la', 'reacted', 'way', '2020', 'felt', 'like', 'one', 'year', 'passed']",rip kobe death big reason reacted way 2020 felt like one year passed
286,snappingcrocodile816,Love these videos man. They are so entertaining and never fail to amaze me ❤️,love these videos man. they are so entertaining and never fail to amaze me ❤️,2022-09-14T00:27:10Z,"['love', 'videos', 'man', 'entertaining', 'never', 'fail', 'amaze']",love videos man entertaining never fail amaze
287,Andrew Bryant,"Ron Artest is so legendary that the actual craziest moment in NBA history, which he caused, is just a footnote in the video","ron artest is so legendary that the actual craziest moment in nba history, which he caused, is just a footnote in the video",2022-09-14T02:02:04Z,"['ron', 'artest', 'legendary', 'actual', 'craziest', 'moment', 'nba', 'history', 'caused', 'footnote', 'video']",ron artest legendary actual craziest moment nba history caused footnote video
288,Sim Drifter 69,"That 65ft shot was insane, he was practically on his own free throw line","that 65ft shot was insane, he was practically on his own free throw line",2022-09-14T10:50:39Z,"['65ft', 'shot', 'insane', 'practically', 'free', 'throw', 'line']",65ft shot insane practically free throw line
289,fmxda,I was fully expecting Tracy McGrady's 13 points in 33 seconds for the #1 spot.,i was fully expecting tracy mcgrady's 13 points in 33 seconds for the #1 spot.,2022-09-14T02:45:22Z,"['fully', 'expecting', 'tracy', 'mcgrady', '13', 'points', '33', 'seconds', '1', 'spot']",fully expecting tracy mcgrady points seconds spot
290,Ingram Prod.,"I loved the 2016 finals because when the cavs won, my friend that was a huge Steph curry fan was crying in the bathroom for a hour 💀","i loved the 2016 finals because when the cavs won, my friend that was a huge steph curry fan was crying in the bathroom for a hour 💀",2022-09-14T00:44:49Z,"['loved', '2016', 'finals', 'cavs', 'friend', 'huge', 'steph', 'curry', 'fan', 'crying', 'bathroom', 'hour']",loved 2016 finals cavs friend huge steph curry fan crying bathroom hour
291,Erix963,"""he's not gonna chase you down from behind and block you""

We all know how that turned out","""he's not gonna chase you down from behind and block you""

we all know how that turned out",2022-09-14T17:55:42Z,"['gonna', 'chase', 'behind', 'block', 'know', 'turned']",gonna chase behind block know turned
292,Papi Goldito Gaming,If I had a dollar every time he says “in NBA history” I love it 😂,if i had a dollar every time he says “in nba history” i love it 😂,2022-09-14T09:33:56Z,"['dollar', 'every', 'time', 'says', 'nba', 'history', 'love']",dollar every time says nba history love
293,rudy cruz,"I’ll never forget the lakers game when the whole arena tilted due to a massive earthquake.



Edit:Lebron proceeded to score a triple double with 60 pts and made Michaels flue game irrelevant.","i’ll never forget the lakers game when the whole arena tilted due to a massive earthquake.



edit:lebron proceeded to score a triple double with 60 pts and made michaels flue game irrelevant.",2022-09-14T01:17:30Z,"['never', 'forget', 'lakers', 'game', 'whole', 'arena', 'tilted', 'due', 'massive', 'earthquake', 'edit', 'lebron', 'proceeded', 'score', 'triple', 'double', '60', 'pts', 'made', 'michaels', 'flue', 'game', 'irrelevant']",never forget lakers game whole arena tilted due massive earthquake edit lebron proceeded score triple double pts made michaels flue game irrelevant
